aX,aY,aZ,gX,gY,gZ
-0.012,0.692,-0.831,-20.569,-63.171,-21.057
-0.008,0.837,-0.902,-24.353,-72.632,-24.048
-0.039,0.893,-0.994,-38.269,-93.384,-40.588
-0.133,0.875,-1.043,-51.514,-110.291,-50.781
-0.175,0.801,-0.964,-60.730,-146.790,-62.988
-0.207,0.624,-0.875,-52.429,-159.851,-61.768
-0.181,0.611,-0.904,-45.471,-171.326,-56.519
-0.020,0.772,-0.981,-45.227,-200.867,-45.898
0.067,0.905,-0.962,-52.612,-219.543,-47.546
0.115,0.991,-0.864,-62.744,-251.526,-77.759
0.102,0.751,-0.719,-52.490,-259.583,-97.412
0.092,0.571,-0.776,-31.982,-261.414,-103.821
0.106,0.584,-0.903,-34.302,-264.343,-96.008
0.118,0.652,-0.957,-32.104,-291.077,-101.257
0.167,0.694,-0.964,-37.659,-316.895,-110.596
0.160,0.727,-0.913,-80.078,-394.653,-131.042
0.046,0.666,-0.717,-90.942,-447.205,-146.851
-0.046,0.558,-0.567,-73.059,-557.922,-182.617
-0.154,0.323,-0.090,-72.449,-598.389,-195.618
-0.158,0.267,0.181,-107.605,-604.431,-203.064
-0.109,0.249,0.543,-111.633,-572.205,-202.332
-0.140,0.233,0.642,-107.056,-532.471,-202.759
-0.337,0.044,0.703,-95.276,-465.515,-204.529
-0.400,-0.072,0.788,-94.421,-450.928,-200.256
-0.394,-0.119,0.999,-117.859,-463.806,-177.002
-0.209,0.154,1.638,-113.892,-468.140,-167.236
-0.188,0.129,1.867,-21.362,-404.419,-203.552
-0.348,-0.562,1.545,19.775,-339.478,-216.248
-0.396,-0.735,1.209,3.052,-242.554,-149.719
-0.249,-0.247,1.122,-40.649,-228.088,-101.624
-0.126,0.187,1.265,-74.097,-226.379,-75.439
-0.235,0.319,1.448,-55.298,-228.882,-105.713
-0.388,-0.083,1.468,-14.832,-221.374,-158.386
-0.456,-0.731,1.452,-10.193,-206.299,-143.799
-0.364,-0.664,1.443,-39.917,-149.414,-57.983
-0.206,-0.032,1.447,-61.646,-127.686,-29.480
-0.241,-0.065,1.533,-62.744,-126.099,-46.936
-0.350,-0.645,1.606,-38.757,-122.742,-47.668
-0.334,-0.651,1.483,-10.376,-107.300,-25.269
-0.179,-0.156,1.208,-5.554,-73.975,18.005
-0.112,0.003,1.253,-32.166,-70.374,15.320
-0.098,0.054,1.284,-47.424,-49.561,-2.563
-0.148,-0.007,0.996,-39.856,-37.781,-6.348
-0.129,-0.013,0.989,-42.786,-43.274,0.427
-0.060,0.097,1.021,-37.964,-40.222,4.761
-0.059,0.141,1.005,-20.386,-34.058,2.136
-0.099,0.119,1.158,-13.672,-33.325,-0.732
-0.123,0.121,1.190,2.441,-18.250,1.160
-0.139,0.172,1.151,8.301,-12.634,1.343
-0.138,0.133,1.141,12.512,-9.216,-4.761
-0.157,-0.000,1.093,10.620,-6.531,-4.883
-0.164,-0.016,1.074,5.798,-2.991,-1.587
-0.164,0.002,1.067,-3.174,2.258,5.676
-0.147,0.058,1.063,-1.892,3.540,6.470
-0.136,0.069,1.033,0.549,6.165,4.883
-0.130,0.077,1.018,-1.831,7.324,3.845
-0.136,0.059,0.998,-1.343,9.827,0.916
-0.140,0.024,0.959,1.404,9.399,0.671
-0.137,0.016,0.927,-0.366,6.836,2.014
-0.134,-0.000,0.937,-5.371,3.296,2.808
-0.132,0.005,0.984,-8.911,1.221,3.357
