aX,aY,aZ,gX,gY,gZ
-0.042,0.073,-1.000,0.366,-5.737,-6.042
-0.051,0.066,-1.000,1.587,-3.357,-6.042
-0.065,0.074,-1.011,3.967,-2.808,-5.066
-0.073,0.094,-1.027,2.991,-5.432,-4.395
-0.068,0.095,-1.025,-1.038,-12.756,-5.249
-0.048,0.082,-1.007,-1.831,-14.893,-6.226
-0.031,0.077,-1.004,-1.465,-13.184,-6.836
-0.012,0.063,-1.003,-0.610,-9.766,-6.653
-0.016,0.054,-1.008,0.427,-5.676,-6.287
-0.021,0.041,-1.019,0.488,-0.916,-3.296
-0.019,0.036,-1.017,0.122,-1.038,-1.221
-0.016,0.038,-1.012,0.854,-3.540,2.197
-0.014,0.058,-0.998,1.221,-4.517,3.296
-0.016,0.069,-0.994,1.526,-5.432,3.357
-0.015,0.085,-0.993,1.221,-5.371,3.174
-0.014,0.087,-0.992,0.427,-3.296,2.808
-0.019,0.084,-0.989,0.732,-1.465,2.380
-0.021,0.083,-0.990,2.136,0.854,2.075
-0.027,0.094,-0.999,2.197,0.793,2.197
-0.033,0.101,-1.003,0.427,-0.366,1.099
-0.045,0.107,-1.013,-0.549,-1.221,-0.122
-0.051,0.108,-1.017,-0.854,-2.686,-1.831
-0.056,0.102,-1.017,0.610,-6.836,-5.615
-0.050,0.095,-1.014,1.831,-8.179,-6.226
-0.040,0.089,-1.011,3.296,-7.202,-5.188
-0.025,0.073,-1.004,3.418,-5.737,-4.883

0.759,0.994,0.956,-293.152,-25.513,204.529
0.719,1.052,0.930,-287.781,76.843,180.237
0.737,1.280,0.807,-255.554,127.686,167.603
0.796,1.424,0.725,-177.429,215.027,136.841
0.883,1.560,0.509,-147.583,248.901,109.863
0.890,1.543,0.361,-122.559,271.240,68.420
0.860,1.471,0.207,-54.260,279.114,-38.269
0.808,1.297,-0.027,-7.568,273.865,-82.458
0.823,1.225,-0.081,95.825,268.005,-133.301
0.885,1.170,-0.249,148.193,270.691,-153.137
0.859,1.172,-0.397,230.713,272.400,-210.632
0.809,1.167,-0.827,248.291,269.165,-248.535
0.754,1.121,-1.003,234.741,247.437,-330.261
0.584,0.910,-1.239,202.942,227.844,-364.563
0.533,0.678,-1.340,160.461,208.008,-383.850
0.465,0.417,-1.410,78.003,156.921,-378.662
0.256,-0.121,-1.485,56.946,118.652,-360.046
0.219,-0.390,-1.493,51.636,13.855,-291.748
0.187,-0.792,-1.362,53.955,-45.410,-249.451
0.201,-0.902,-1.231,62.866,-140.259,-171.143
0.228,-0.909,-0.954,67.139,-167.541,-139.282
0.247,-0.854,-0.824,57.068,-193.481,-82.886
0.283,-0.749,-0.573,36.743,-197.144,-54.626
0.313,-0.703,-0.433,-33.447,-189.880,7.019
0.243,-0.620,-0.133,-71.472,-181.458,37.415
